pid,nameAttested,nameTransliterated,bbox,id,reprLat,reprLong,timePeriods,timePeriodsKeys,minDate,maxDate,geometry,featureType
/places/1052,NULL,Italia,NULL,batlas-location,NULL,NULL,NULL,NULL,0,0,"{""type"": ""Polygon"", ""coordinates"": [[[10.0, 40.0], [10.0, 45.0], [15.0, 45.0], [15.0, 40.0], [10.0, 40.0]]]}",unknown
/places/1052,á¼¸Ï„Î±Î»Î¯Î±,Italia,NULL,name.2015-08-05.6352929608,NULL,NULL,R,roman,-30,300,"{""type"": ""Polygon"", ""coordinates"": [[[10.0, 40.0], [10.0, 45.0], [15.0, 45.0], [15.0, 40.0], [10.0, 40.0]]]}",unknown
/places/1052,á¼¸Ï„Î±Î»Î¯Î±,Italia,NULL,batlas-location,NULL,NULL,R,roman,-30,300,"{""type"": ""Polygon"", ""coordinates"": [[[10.0, 40.0], [10.0, 45.0], [15.0, 45.0], [15.0, 40.0], [10.0, 40.0]]]}",unknown
/places/1063,NULL,Karpates Oros,"20.0, 45.0, 25.0, 50.0",karpates-oros,47.500000000000000000000000000000,22.500000000000000000000000000000,R,roman,-30,300,"{""type"": ""Polygon"", ""coordinates"": [[[20.0, 45.0], [20.0, 50.0], [25.0, 50.0], [25.0, 45.0], [20.0, 45.0]]]}",unknown
/places/1063,NULL,Karpates Oros,"20.0, 45.0, 25.0, 50.0",batlas-location,47.500000000000000000000000000000,22.500000000000000000000000000000,R,roman,-30,300,"{""type"": ""Polygon"", ""coordinates"": [[[20.0, 45.0], [20.0, 50.0], [25.0, 50.0], [25.0, 45.0], [20.0, 45.0]]]}",unknown
/places/1063,NULL,Carpathian Mountains,"20.1339111, 49.163951, 20.1339111, 49.163951",name.2013-12-07.3931929795,NULL,NULL,M,modern,1700,2100,"{""type"": ""Polygon"", ""coordinates"": [[[20.0, 45.0], [20.0, 50.0], [25.0, 50.0], [25.0, 45.0], [20.0, 45.0]]]}",unknown
/places/1063,NULL,Carpathian Mountains,"20.1339111, 49.163951, 20.1339111, 49.163951",batlas-location,NULL,NULL,M,modern,1700,2100,"{""type"": ""Polygon"", ""coordinates"": [[[20.0, 45.0], [20.0, 50.0], [25.0, 50.0], [25.0, 45.0], [20.0, 45.0]]]}",unknown
/places/107397415,Tumulo di Montecalvario,Tumulo di Montecalvario,NULL,tumulo-di-montecalvario,NULL,NULL,T,twenty-first-ce,2000,2099,"{""type"": ""Point"", ""coordinates"": [11.2836616, 43.4727707]}","tumulus,"
/places/107397415,Tumulo di Montecalvario,Tumulo di Montecalvario,NULL,location-of-tumulus-of-montecalvario,NULL,NULL,T,twenty-first-ce,2000,2099,"{""type"": ""Point"", ""coordinates"": [11.2836616, 43.4727707]}","tumulus,"
/places/108542249,Tell Abu Sheeja,"Tell Abu Sheeja, Tall Abu Sheeja, Tall â€™AbÅ« Å Ä«jah, Tall Abu Shijah",NULL,tell-abu-sheeja,NULL,NULL,M,modern,1700,2100,"{""type"": ""Polygon"", ""coordinates"": [[[47.1443488, 32.3901239], [47.1463229, 32.3958676], [47.1475245, 32.3985128], [47.1514727, 32.3915916], [47.1514083, 32.3913379], [47.1443488, 32.3901239]]]}",settlement
